N,P,K,temperature,humidity,ph,rainfall,label
35,63,26,26.19,64.09,7.38,48.11,mothbeans
18,50,26,29.99,47.47,6.31,64.43,mothbeans
29,63,24,25.61,55.6,4.66,43.81,mothbeans
28,65,25,31.67,52.6,6.28,42.9,mothbeans
17,49,22,28.57,56.68,5.17,59.91,mothbeans
32,47,28,30.47,53.07,3.6,35.81,mothbeans
28,45,26,25.29,47.17,4.5,63.58,mothbeans
29,47,26,24.26,60.35,3.91,64.72,mothbeans
30,62,26,28.49,45.94,6.64,61.95,mothbeans
21,57,29,27.1,63.92,7.4,42.51,mothbeans
26,40,19,28.96,59.52,6.98,63.2,mothbeans
33,58,25,30.04,53.67,5.91,61.05,mothbeans
34,47,18,29.46,44.67,4.2,50.55,mothbeans
23,51,23,25.04,54.6,4.52,43.22,mothbeans
29,44,17,26.58,41.27,7.23,54.62,mothbeans
28,52,24,26.86,59.6,4.77,38.8,mothbeans
19,42,23,27.33,53.43,3.87,38.85,mothbeans
19,48,20,25.75,58.82,5.62,69.87,mothbeans
31,65,15,29.35,51.14,7.12,54.55,mothbeans
27,64,25,26.57,62.9,7.28,45.44,mothbeans
26,47,29,30.58,49.37,6.71,47.82,mothbeans
16,62,18,28.11,63.71,4.17,68.25,mothbeans
26,40,16,29.36,59.34,6.96,46.97,mothbeans
17,53,26,31.81,59.38,6.09,67.59,mothbeans
30,44,22,26.65,42.19,3.72,61.77,mothbeans
26,54,18,26.07,49.7,6.02,47.32,mothbeans
15,57,23,29.13,55.46,6.52,53.42,mothbeans
29,42,29,24.85,59.67,4.71,33.46,mothbeans
30,51,21,29.29,51.85,5.63,35.46,mothbeans
23,60,23,31.68,43.6,6.21,66.57,mothbeans
31,58,21,31.6,53.84,5.72,34.93,mothbeans
15,55,23,31.58,47.62,6.49,66.14,mothbeans
22,50,25,28.1,44.02,4.38,63.39,mothbeans
19,45,27,30.82,61.28,7.23,69.77,mothbeans
24,54,19,24.54,42.46,6.4,49.49,mothbeans
22,43,25,24.8,55.49,7.1,42.71,mothbeans
24,55,20,28.67,54.14,4.96,42.65,mothbeans
24,40,19,25.77,58.5,5.24,63.6,mothbeans
18,58,28,27.7,48.97,4.72,52.07,mothbeans
19,55,28,30.87,43.5,5.65,40.53,mothbeans
33,42,16,24.15,52.68,3.62,53.28,mothbeans
23,55,29,28.41,53.59,7.49,48.88,mothbeans
30,49,18,30.18,58.33,4.66,48.59,mothbeans
25,50,23,29.3,61.2,6.73,54.56,mothbeans
18,53,22,25.43,63.72,6.14,68.71,mothbeans
30,52,20,25.75,52.19,3.75,44.78,mothbeans
16,45,29,26.89,51.74,5.32,31.86,mothbeans
35,48,26,28.17,60.74,6.84,40.53,mothbeans
26,44,25,26.92,56.33,6.84,50.67,mothbeans
23,63,23,26.82,61.69,5.45,49.28,mothbeans
27,53,17,25.32,41.93,6.07,38.46,mothbeans
19,49,26,24.95,45.76,6.74,58.81,mothbeans
25,52,18,25.29,60.83,3.59,31.73,mothbeans
26,44,24,24.31,54.31,3.72,40.33,mothbeans
19,64,24,28.51,40.47,6.38,56.47,mothbeans
21,42,22,31.94,61.68,4.18,63.21,mothbeans
27,60,27,25.46,56.49,4.56,58.97,mothbeans
22,51,24,25.84,49.64,3.93,38.09,mothbeans
32,53,21,25.2,42.41,5.4,54.59,mothbeans
16,60,23,24.94,52.06,4.02,54.14,mothbeans
32,62,27,29.19,53.05,4.98,31.74,mothbeans
26,46,27,30.32,49.53,5.86,59.66,mothbeans
30,57,16,25.07,51.93,4.43,64.36,mothbeans
21,62,21,25.51,57.73,6.66,53.12,mothbeans
17,40,25,29.5,47.9,4.95,36.19,mothbeans
28,46,28,27.39,49.14,4.6,57.22,mothbeans
30,50,27,27.86,49.26,5.72,40.15,mothbeans
21,49,26,29.89,61.37,6.14,59.91,mothbeans
24,57,17,25.72,50.01,4.85,52.02,mothbeans
29,58,17,31.72,40.13,3.86,35.81,mothbeans
34,51,16,25.77,42.0,3.65,45.37,mothbeans
35,55,23,29.69,54.94,7.28,62.81,mothbeans
28,51,18,29.26,60.1,4.64,31.34,mothbeans
27,53,18,25.36,40.9,4.46,30.01,mothbeans
18,65,27,26.83,49.88,5.84,50.71,mothbeans
30,42,16,26.28,60.74,7.16,43.92,mothbeans
34,47,24,25.56,63.24,5.8,40.44,mothbeans
23,43,16,26.35,63.68,6.71,68.27,mothbeans
33,60,24,29.55,64.15,5.75,60.8,mothbeans
30,64,22,27.69,54.67,3.61,34.65,mothbeans
16,56,30,29.42,45.75,4.76,68.22,mothbeans
25,40,27,25.99,42.33,6.19,62.84,mothbeans
17,63,22,26.83,62.36,4.58,67.88,mothbeans
29,63,22,25.6,58.39,6.99,38.27,mothbeans
19,46,24,25.25,42.67,7.18,57.03,mothbeans
28,55,26,28.33,41.06,5.43,54.83,mothbeans
25,65,28,30.95,52.27,7.44,66.64,mothbeans
21,46,24,24.43,59.98,5.41,51.63,mothbeans
30,50,25,27.87,89.77,7.05,43.8,mungbean
36,40,18,29.91,83.25,6.92,37.79,mungbean
31,46,22,30.07,83.66,6.75,36.32,mungbean
36,49,28,28.4,81.8,6.2,47.28,mungbean
22,42,19,28.18,84.32,6.57,34.38,mungbean
44,44,27,27.88,85.0,7.49,55.48,mungbean
31,58,27,28.5,85.62,6.85,41.95,mungbean
36,42,27,29.38,86.3,6.67,40.04,mungbean
26,54,29,28.29,80.2,6.18,56.02,mungbean
44,45,24,30.25,81.75,7.17,40.65,mungbean
35,52,26,31.45,83.81,6.43,48.95,mungbean
19,44,27,28.69,86.31,6.86,55.47,mungbean
17,44,18,28.58,82.91,6.4,49.34,mungbean
23,51,28,28.82,85.87,7.45,42.42,mungbean
21,41,26,30.31,89.4,7.05,32.4,mungbean
20,43,16,31.39,85.48,6.04,41.91,mungbean
38,42,19,27.78,86.55,7.33,39.28,mungbean
22,47,24,27.66,88.39,6.04,49.91,mungbean
41,48,22,31.87,85.41,6.41,43.35,mungbean
44,57,18,29.99,86.31,6.95,46.92,mungbean
31,56,20,28.74,85.4,7.21,43.26,mungbean
26,46,20,27.0,88.15,7.27,40.32,mungbean
29,40,29,31.73,84.77,6.01,42.91,mungbean
24,46,15,28.87,84.12,6.84,41.84,mungbean
20,58,21,28.89,82.63,6.63,37.19,mungbean
38,63,27,30.42,82.85,7.11,54.26,mungbean
27,61,18,28.45,86.37,6.93,38.16,mungbean
34,45,15,27.25,85.35,6.28,33.07,mungbean
23,58,26,28.16,81.51,6.74,40.26,mungbean
24,60,30,29.32,87.91,6.5,55.31,mungbean
44,41,27,27.36,84.7,6.29,55.25,mungbean
40,61,17,30.84,82.49,7.16,43.29,mungbean
37,41,22,30.85,85.21,7.47,44.18,mungbean
35,48,20,30.15,80.42,7.41,45.63,mungbean
23,56,18,31.44,88.64,6.33,33.39,mungbean
34,48,18,28.38,81.2,7.18,30.27,mungbean
16,60,22,29.98,83.71,6.13,34.73,mungbean
18,55,29,31.98,86.25,6.09,49.34,mungbean
36,60,17,28.16,89.82,7.18,52.7,mungbean
39,51,18,30.45,83.58,6.2,56.96,mungbean
30,51,19,30.49,81.9,6.28,40.43,mungbean
37,47,27,31.57,85.55,6.1,34.65,mungbean
24,47,21,27.0,86.38,6.57,35.57,mungbean
16,61,27,28.19,87.21,6.99,46.17,mungbean
27,53,22,29.76,86.13,6.48,49.23,mungbean
18,53,16,31.18,81.3,7.31,36.06,mungbean
30,42,24,31.18,86.58,6.79,51.04,mungbean
23,49,24,27.35,89.3,6.31,44.74,mungbean
42,42,27,27.3,85.58,7.41,42.48,mungbean
26,58,27,28.33,80.41,6.11,39.12,mungbean
43,64,16,30.63,85.32,6.28,45.79,mungbean
22,56,18,30.75,84.15,6.16,49.16,mungbean
26,51,25,31.41,81.67,6.27,42.05,mungbean
25,44,30,29.22,83.52,6.47,59.74,mungbean
25,49,26,29.15,87.26,6.91,46.89,mungbean
21,59,29,28.27,89.62,6.67,41.91,mungbean
37,65,24,29.59,89.93,6.45,39.01,mungbean
22,61,15,31.11,86.9,6.41,46.61,mungbean
32,63,17,27.19,83.56,6.21,41.01,mungbean
32,46,27,27.46,84.0,7.38,52.03,mungbean
37,60,18,31.13,86.9,6.86,57.23,mungbean
33,48,26,29.88,80.78,6.08,53.13,mungbean
25,60,21,31.34,88.7,6.34,49.58,mungbean
33,40,27,28.91,83.05,6.06,46.2,mungbean
19,53,18,27.25,87.32,6.59,43.37,mungbean
33,53,18,28.45,83.94,6.2,32.48,mungbean
32,41,21,27.43,85.02,7.16,33.91,mungbean
19,54,22,30.26,81.96,6.92,52.07,mungbean
22,42,27,28.62,89.24,6.13,50.15,mungbean
28,49,20,29.97,80.24,6.46,59.63,mungbean
33,65,22,27.73,80.45,7.23,35.99,mungbean
26,59,28,27.56,80.55,7.42,57.8,mungbean
41,60,15,30.47,81.11,6.68,30.68,mungbean
21,53,18,29.62,82.59,6.72,51.9,mungbean
19,57,15,29.92,86.64,6.07,35.11,mungbean
24,60,24,27.27,86.55,6.01,41.66,mungbean
23,61,25,31.32,80.19,7.3,49.48,mungbean
22,50,30,27.5,83.15,7.3,45.95,mungbean
21,53,22,31.63,80.21,6.37,45.88,mungbean
25,50,17,28.73,83.52,6.94,37.09,mungbean
44,53,27,30.13,88.79,7.34,54.45,mungbean
16,54,19,27.76,88.97,6.99,32.63,mungbean
26,64,24,30.13,82.27,6.36,34.58,mungbean
44,63,20,29.71,82.07,6.21,46.24,mungbean
39,62,20,30.53,85.24,6.2,59.87,mungbean
44,44,29,31.59,83.17,6.84,58.46,mungbean
19,48,28,30.64,87.65,7.32,42.42,mungbean
27,51,29,31.47,89.33,6.41,53.37,mungbean
18,45,26,30.06,82.67,6.85,36.93,mungbean
22,57,20,30.44,84.77,6.75,48.14,mungbean
36,49,28,29.46,81.38,6.29,30.97,mungbean
38,40,19,29.07,87.42,7.48,52.73,mungbean
17,63,30,31.34,84.9,6.49,43.73,mungbean
22,50,16,30.68,83.8,6.47,48.35,mungbean
37,55,23,31.38,87.87,6.78,43.55,mungbean
40,41,30,29.59,83.96,7.1,46.73,mungbean
30,56,16,28.46,83.98,6.46,54.83,mungbean
29,51,24,27.27,85.17,6.21,54.9,mungbean
29,58,17,30.89,89.38,7.04,34.06,mungbean
27,51,18,29.95,87.13,6.3,43.64,mungbean
35,69,29,32.96,67.18,6.25,62.28,blackgram
39,62,23,28.84,67.91,7.02,79.0,blackgram
38,63,27,34.12,65.65,7.32,63.0,blackgram
47,59,26,29.2,63.1,7.54,68.93,blackgram
43,57,17,27.03,66.23,6.51,69.17,blackgram
47,66,15,33.83,62.38,7.18,69.51,blackgram
38,57,24,27.45,65.47,7.24,71.15,blackgram
47,56,17,31.53,60.37,7.71,73.34,blackgram
47,61,29,25.49,64.17,6.36,73.44,blackgram
42,69,24,32.87,61.77,6.91,71.58,blackgram
49,57,19,28.69,63.79,6.14,68.55,blackgram
41,61,17,31.95,62.74,7.05,70.49,blackgram
44,67,17,32.3,66.29,7.97,69.67,blackgram
44,74,30,27.87,66.09,6.63,70.51,blackgram
50,62,17,30.63,65.2,7.26,69.85,blackgram
34,67,26,34.79,60.02,6.05,72.51,blackgram
32,72,27,34.99,64.14,6.67,71.21,blackgram
43,55,18,27.82,67.9,6.62,70.13,blackgram
36,55,25,28.41,67.24,7.23,60.58,blackgram
34,62,20,31.72,69.16,7.59,72.91,blackgram
40,68,28,30.37,63.35,7.57,68.28,blackgram
45,72,19,32.25,63.16,7.07,64.17,blackgram
44,71,28,28.54,69.7,6.56,60.62,blackgram
50,68,28,30.71,63.9,7.19,77.29,blackgram
45,69,20,25.32,64.14,6.99,64.75,blackgram
39,74,18,28.02,61.12,7.57,75.56,blackgram
48,64,15,29.83,65.0,6.38,78.47,blackgram
45,65,27,26.43,68.72,7.64,78.76,blackgram
44,58,26,29.59,67.14,7.04,60.08,blackgram
49,69,24,25.87,64.67,6.09,70.41,blackgram
43,61,24,28.12,68.92,6.64,63.85,blackgram
36,61,22,26.18,61.49,6.55,60.31,blackgram
42,65,18,28.5,63.18,6.28,74.09,blackgram
36,60,16,31.13,63.39,6.89,62.6,blackgram
39,69,17,25.54,64.26,6.36,71.92,blackgram
42,72,25,31.16,63.12,7.63,74.26,blackgram
43,66,30,32.56,64.66,6.26,76.26,blackgram
48,64,22,31.84,67.1,6.93,64.63,blackgram
34,72,24,34.13,63.92,7.4,73.3,blackgram
46,73,22,25.3,64.75,6.7,69.22,blackgram
33,70,24,26.27,61.03,7.64,75.94,blackgram
37,68,27,30.33,64.01,6.83,72.42,blackgram
41,74,21,28.41,68.14,7.18,75.69,blackgram
39,71,23,27.36,66.63,6.16,78.62,blackgram
41,65,24,29.63,65.55,7.64,63.52,blackgram
49,56,17,33.14,67.71,6.76,69.89,blackgram
43,57,27,33.87,69.03,7.27,60.0,blackgram
33,58,23,28.9,65.78,6.39,73.63,blackgram
36,66,29,28.05,69.43,6.87,79.65,blackgram
37,57,15,34.86,64.04,6.26,65.88,blackgram
37,66,16,32.03,68.21,6.72,77.22,blackgram
47,60,26,28.94,63.18,6.77,67.63,blackgram
41,68,22,26.88,63.85,7.85,76.8,blackgram
33,75,25,26.34,60.72,6.03,74.43,blackgram
40,64,30,25.85,66.42,6.83,69.12,blackgram
46,67,21,26.8,65.09,7.1,69.0,blackgram
37,59,24,30.78,68.47,6.47,70.03,blackgram
38,66,20,34.78,65.68,7.41,62.26,blackgram
40,69,17,32.31,69.84,7.97,75.58,blackgram
39,57,28,25.88,64.72,7.48,79.21,blackgram
32,68,27,28.12,60.53,6.69,75.57,blackgram
39,65,22,32.34,64.21,7.92,75.96,blackgram
36,56,29,32.49,67.27,7.13,61.23,blackgram
39,58,16,34.9,68.09,7.25,65.74,blackgram
32,65,28,27.78,61.33,6.56,77.16,blackgram
30,57,18,30.92,61.51,6.89,76.16,blackgram
35,69,22,32.99,68.62,6.69,61.69,blackgram
33,74,17,29.96,69.94,7.54,64.76,blackgram
39,68,18,32.34,63.45,7.28,75.11,blackgram
32,58,21,28.01,67.46,7.5,70.65,blackgram
38,69,22,26.45,68.7,6.02,78.54,blackgram
39,69,29,31.83,60.41,7.84,72.75,blackgram
49,64,29,33.58,63.35,6.53,61.97,blackgram
43,63,27,32.49,67.34,7.18,63.9,blackgram
37,69,18,30.48,66.73,7.66,60.24,blackgram
32,57,22,27.19,62.83,6.39,60.47,blackgram
32,74,25,33.35,69.5,7.28,74.16,blackgram
32,72,17,31.56,69.0,7.13,79.34,blackgram
48,69,19,29.67,69.36,7.28,78.45,blackgram
36,64,29,32.7,63.23,6.32,61.48,blackgram
46,63,20,25.6,69.56,6.53,68.81,blackgram
40,74,24,26.78,64.92,6.29,75.37,blackgram
34,68,29,32.15,61.03,6.15,71.43,blackgram
35,64,28,26.49,66.4,7.87,73.29,blackgram
35,69,29,30.75,65.15,7.88,69.81,blackgram
39,72,27,32.85,65.4,6.01,79.08,blackgram
46,65,24,34.35,63.59,7.36,68.01,blackgram
43,74,16,30.35,69.61,6.16,69.19,blackgram
45,68,18,25.39,63.84,6.38,73.92,blackgram
48,68,20,25.85,66.33,7.47,62.8,blackgram
34,69,24,29.89,60.63,7.08,66.15,blackgram
41,72,22,34.96,60.37,6.11,75.76,blackgram
31,57,27,31.67,64.58,7.36,77.49,blackgram
33,67,29,25.37,61.42,7.31,69.42,blackgram
48,56,26,26.31,61.72,6.1,66.15,blackgram
46,64,18,30.91,68.18,6.21,69.94,blackgram
46,59,27,29.26,68.12,7.96,73.57,blackgram
36,75,24,26.37,68.36,7.59,75.28,blackgram
42,62,17,26.41,64.15,7.39,71.07,blackgram
39,74,16,26.0,68.47,7.22,75.55,blackgram
10,67,15,19.79,23.57,7.13,52.74,lentil
18,75,27,24.92,28.25,7.1,45.46,lentil
18,78,24,18.38,27.2,6.75,54.01,lentil
23,75,20,18.05,29.43,5.79,45.6,lentil
12,64,26,23.4,28.77,7.43,48.19,lentil
16,60,27,24.85,58.74,6.69,38.53,lentil
23,56,25,20.85,37.39,6.34,51.1,lentil
25,56,26,27.25,27.04,7.46,44.7,lentil
12,77,26,23.93,33.04,6.0,48.54,lentil
17,74,20,18.98,49.51,7.67,42.51,lentil
14,67,22,26.9,25.8,7.82,44.1,lentil
18,58,26,24.32,59.02,6.01,37.54,lentil
24,56,17,26.52,38.34,5.93,41.87,lentil
28,70,27,24.38,44.46,5.92,54.4,lentil
27,57,28,22.89,59.83,6.98,51.74,lentil
16,73,26,20.47,33.09,6.95,52.84,lentil
22,59,24,18.05,59.21,5.6,44.41,lentil
25,56,23,22.79,51.92,7.55,44.05,lentil
15,69,15,25.32,58.0,5.83,40.92,lentil
23,57,22,21.05,48.13,7.64,49.95,lentil
10,66,27,26.74,36.21,7.47,42.41,lentil
19,71,28,18.71,55.74,6.33,35.65,lentil
19,62,29,23.42,51.78,7.47,36.62,lentil
28,73,16,27.45,46.99,7.72,37.22,lentil
17,70,20,19.75,42.35,5.67,49.19,lentil
14,80,19,19.14,39.14,7.85,46.6,lentil
29,60,26,20.25,34.11,6.17,48.6,lentil
16,57,20,22.86,41.07,5.81,49.2,lentil
24,68,19,24.21,52.0,7.86,51.18,lentil
29,57,28,22.58,23.21,7.74,40.77,lentil
29,58,19,24.97,39.85,7.69,45.41,lentil
23,62,30,23.41,25.28,6.37,43.88,lentil
23,62,16,26.72,29.29,7.87,47.89,lentil
18,64,25,21.26,43.73,7.24,51.84,lentil
19,63,17,25.89,26.87,6.15,44.68,lentil
29,74,16,21.53,38.24,5.92,53.48,lentil
24,62,30,26.39,47.71,7.17,38.07,lentil
15,56,20,19.26,30.42,5.96,46.25,lentil
11,63,20,21.73,41.59,5.91,41.03,lentil
28,65,22,19.45,38.32,6.3,35.09,lentil
25,79,20,25.05,38.96,6.22,53.88,lentil
30,69,17,23.65,56.28,6.61,48.78,lentil
25,78,17,23.51,32.32,6.5,51.82,lentil
19,57,16,24.41,43.34,6.06,53.71,lentil
16,56,23,22.45,46.86,5.72,45.24,lentil
14,63,24,27.43,56.34,6.4,37.96,lentil
27,64,21,20.85,34.05,7.94,52.49,lentil
12,73,22,27.93,52.15,6.22,51.11,lentil
29,66,28,19.4,43.49,5.72,39.16,lentil
19,77,30,18.66,58.4,7.39,36.77,lentil
18,78,21,23.56,48.41,7.39,37.74,lentil
14,65,23,18.42,53.05,7.59,41.08,lentil
21,67,15,18.02,30.51,7.89,51.68,lentil
19,71,28,22.17,39.68,7.22,39.9,lentil
12,62,30,18.67,49.82,6.95,46.31,lentil
27,71,22,24.94,24.78,6.78,46.51,lentil
27,59,16,21.2,55.13,5.84,38.27,lentil
15,65,29,21.56,31.59,6.82,53.73,lentil
20,74,18,18.95,50.11,6.86,52.45,lentil
27,72,20,24.85,47.53,5.74,46.6,lentil
26,55,23,21.73,39.4,6.35,53.22,lentil
12,59,18,19.88,55.88,7.03,51.63,lentil
21,68,23,25.56,24.56,6.65,36.53,lentil
26,78,22,21.12,34.5,7.54,52.79,lentil
22,74,20,25.1,21.15,7.54,39.45,lentil
27,59,18,19.25,25.21,5.7,48.82,lentil
26,57,27,25.57,21.7,5.77,50.86,lentil
20,56,17,20.53,22.65,7.17,50.09,lentil
26,78,18,27.01,27.39,6.38,36.82,lentil
27,79,29,21.48,26.42,6.75,49.57,lentil
15,69,16,23.78,20.56,6.04,38.83,lentil
16,78,23,27.74,23.95,6.04,45.08,lentil
24,64,24,22.4,58.31,5.95,42.1,lentil
18,60,18,19.13,59.38,5.81,37.21,lentil
13,74,26,23.57,21.62,6.32,37.31,lentil
16,70,20,27.76,37.76,6.88,40.81,lentil
27,60,16,26.41,39.03,7.2,38.59,lentil
30,67,17,22.38,46.34,5.71,37.87,lentil
18,70,17,27.25,59.11,5.66,54.5,lentil
17,70,30,19.23,53.52,7.31,40.57,lentil
24,70,19,25.89,45.75,6.5,44.52,lentil
22,65,22,20.79,50.72,5.77,40.01,lentil
20,71,17,19.0,22.11,5.67,48.56,lentil
29,65,25,19.53,44.88,5.74,36.53,lentil
25,74,27,20.02,46.48,6.73,40.23,lentil
17,76,23,27.53,21.26,6.58,53.3,lentil
18,63,21,22.6,21.31,6.89,52.21,lentil
16,73,22,19.34,48.63,6.72,37.19,lentil
24,72,25,23.72,39.04,7.64,45.13,lentil
18,67,30,24.17,34.11,7.94,41.41,lentil
11,56,28,21.49,49.68,5.57,52.83,lentil
17,57,20,21.57,34.05,7.15,39.95,lentil
23,70,29,18.66,32.2,6.34,35.39,lentil
17,67,28,23.68,56.06,6.17,48.92,lentil
22,80,21,21.9,42.9,7.52,37.0,lentil
24,63,23,25.65,33.58,7.04,42.27,lentil
19,67,28,25.87,53.62,6.84,40.75,lentil
11,80,21,20.26,49.72,5.73,51.88,lentil
12,63,16,26.01,39.01,6.02,50.91,lentil
23,63,27,22.33,41.6,6.0,43.05,lentil
22,14,50,19.44,85.19,6.91,117.25,pomegranate
22,9,54,23.94,89.67,7.37,110.65,pomegranate
22,20,44,22.53,91.27,6.54,107.29,pomegranate
13,8,49,20.4,89.35,6.14,116.6,pomegranate
11,9,43,24.59,91.46,6.01,112.02,pomegranate
18,7,39,19.96,93.27,6.43,111.2,pomegranate
19,18,36,19.27,86.36,6.02,116.07,pomegranate
23,9,52,25.71,89.86,5.54,117.19,pomegranate
12,17,52,25.2,89.07,6.23,113.15,pomegranate
12,24,49,19.12,86.12,6.97,118.66,pomegranate
20,22,54,25.45,87.52,7.27,104.76,pomegranate
12,21,42,22.67,88.9,7.0,104.72,pomegranate
18,8,38,25.76,89.39,6.01,111.79,pomegranate
20,12,54,20.53,89.24,6.87,119.27,pomegranate
28,24,42,23.73,93.21,5.54,119.34,pomegranate
22,22,48,25.53,91.91,7.08,104.79,pomegranate
21,11,54,20.9,93.12,5.74,117.34,pomegranate
27,13,53,21.14,94.78,6.01,101.81,pomegranate
26,10,39,25.12,94.16,6.76,117.59,pomegranate
25,13,36,24.93,93.23,7.38,109.42,pomegranate
18,22,49,25.01,93.2,7.15,113.97,pomegranate
20,12,47,24.51,92.38,6.41,100.55,pomegranate
11,18,48,24.33,86.36,6.3,112.57,pomegranate
16,7,38,22.13,94.7,7.16,115.26,pomegranate
27,19,51,20.56,89.78,6.97,105.21,pomegranate
24,22,51,19.59,89.14,5.86,117.53,pomegranate
29,23,39,25.58,94.23,6.79,112.53,pomegranate
28,24,39,23.61,86.69,6.3,108.58,pomegranate
15,7,42,25.58,86.17,6.94,108.7,pomegranate
28,14,48,18.95,92.14,5.88,117.24,pomegranate
26,11,45,19.04,93.56,6.7,119.9,pomegranate
16,19,43,21.27,86.46,6.08,105.24,pomegranate
22,23,42,23.47,89.58,5.52,102.66,pomegranate
16,19,49,23.71,92.08,6.97,105.12,pomegranate
12,6,42,19.88,94.08,7.49,118.79,pomegranate
29,17,50,18.36,87.54,6.74,106.05,pomegranate
18,12,54,22.48,90.8,6.02,110.07,pomegranate
29,23,38,20.54,90.3,5.78,102.34,pomegranate
11,8,52,24.68,92.48,7.35,105.66,pomegranate
28,17,50,20.11,88.13,7.29,106.31,pomegranate
30,20,38,24.82,91.57,7.1,101.06,pomegranate
13,10,36,20.08,92.06,6.37,119.9,pomegranate
29,6,42,23.67,89.85,6.49,116.92,pomegranate
27,7,37,24.95,86.81,5.84,110.17,pomegranate
15,23,47,22.67,94.72,6.55,111.42,pomegranate
18,7,50,23.42,93.87,5.55,113.63,pomegranate
24,13,47,25.61,93.37,5.81,101.62,pomegranate
27,18,44,25.64,90.94,5.51,119.4,pomegranate
23,24,42,23.85,92.34,7.41,111.38,pomegranate
14,6,48,20.59,85.56,5.64,119.04,pomegranate
18,13,39,25.72,93.66,5.68,117.05,pomegranate
13,21,41,24.02,91.54,5.74,109.82,pomegranate
19,21,41,23.48,86.31,6.83,116.64,pomegranate
20,15,53,21.81,90.63,6.35,115.13,pomegranate
26,17,44,21.41,85.4,6.18,109.27,pomegranate
14,19,38,21.96,91.3,6.55,105.81,pomegranate
19,23,45,19.19,86.28,7.31,116.83,pomegranate
20,11,36,18.61,85.45,5.72,108.5,pomegranate
12,18,46,20.03,87.55,5.66,110.07,pomegranate
12,18,39,19.46,88.93,5.67,117.54,pomegranate
16,17,44,23.36,91.24,6.03,119.33,pomegranate
27,9,39,23.98,91.04,7.24,102.13,pomegranate
21,5,37,19.37,89.77,6.88,117.38,pomegranate
29,17,45,22.95,94.74,6.22,113.48,pomegranate
24,13,41,19.0,85.14,5.72,100.32,pomegranate
29,22,39,23.19,91.5,6.37,112.52,pomegranate
26,9,41,21.71,89.74,5.54,103.32,pomegranate
13,19,54,21.77,93.6,6.67,104.03,pomegranate
21,22,36,18.06,91.3,6.93,119.59,pomegranate
27,20,47,22.43,87.91,6.47,109.72,pomegranate
22,17,49,24.53,89.88,6.93,110.57,pomegranate
18,11,36,25.14,89.17,6.45,109.9,pomegranate
29,12,49,18.17,87.88,5.88,106.88,pomegranate
15,9,53,20.71,91.02,7.18,113.14,pomegranate
13,11,49,25.68,93.33,6.85,114.69,pomegranate
26,21,52,22.97,87.82,7.0,113.34,pomegranate
13,9,47,18.81,89.16,7.49,106.07,pomegranate
14,6,35,25.05,88.57,5.82,116.56,pomegranate
28,6,36,21.44,91.18,5.74,104.48,pomegranate
15,12,42,18.37,93.78,6.03,103.02,pomegranate
24,15,48,23.65,94.27,6.38,109.14,pomegranate
27,7,37,22.88,92.82,7.39,116.47,pomegranate
11,7,48,24.97,94.11,5.81,105.84,pomegranate
19,15,50,18.79,91.47,6.17,102.76,pomegranate
27,14,43,24.15,87.45,7.12,106.83,pomegranate
20,7,42,24.04,88.61,6.83,103.03,pomegranate
25,13,40,24.41,89.13,6.32,109.18,pomegranate
27,21,42,18.24,86.46,5.52,116.12,pomegranate
29,7,41,25.86,86.64,5.62,115.18,pomegranate
23,18,53,18.46,91.32,6.93,113.21,pomegranate
20,11,43,23.45,90.54,6.11,114.85,pomegranate
28,5,41,22.22,94.2,6.9,108.92,pomegranate
14,16,51,23.22,91.97,7.28,115.63,pomegranate
18,9,41,18.3,88.34,6.95,114.8,pomegranate
13,25,41,18.74,90.52,6.54,115.14,pomegranate
13,6,51,22.74,87.41,7.05,114.53,pomegranate
30,7,36,20.98,91.27,6.21,100.95,pomegranate
23,7,41,23.89,89.53,7.47,116.11,pomegranate
30,16,53,23.02,90.33,6.69,107.01,pomegranate
16,21,49,23.38,92.14,6.54,104.95,pomegranate
93,82,53,27.53,75.98,6.57,114.85,banana
83,71,54,28.33,79.46,6.05,105.79,banana
104,80,49,26.85,79.99,6.14,103.2,banana
117,80,55,30.77,76.44,5.69,111.33,banana
85,84,54,25.83,77.13,6.21,112.39,banana
118,77,55,29.21,79.09,5.68,107.15,banana
82,73,49,31.94,78.03,6.23,113.74,banana
86,82,45,31.26,83.89,5.82,114.57,banana
100,72,48,31.09,79.18,6.36,106.97,banana
116,86,50,30.04,81.06,6.64,105.14,banana
98,79,49,31.06,78.25,6.7,109.94,banana
96,75,49,28.79,84.58,6.84,112.08,banana
106,87,52,29.0,82.96,6.56,106.83,banana
85,81,47,29.33,80.77,5.58,107.11,banana
88,80,54,25.84,84.36,5.77,90.57,banana
111,75,52,31.21,79.44,6.71,108.21,banana
96,71,54,25.16,79.37,6.12,115.79,banana
93,75,46,25.7,76.68,5.72,97.67,banana
84,76,49,26.18,81.14,5.99,90.82,banana
82,78,48,27.89,78.24,6.06,114.83,banana
85,74,53,29.1,79.93,6.63,101.55,banana
85,71,50,27.85,79.84,6.11,97.01,banana
115,75,55,29.73,77.46,6.33,113.56,banana
92,78,46,29.45,77.03,6.95,101.2,banana
119,86,50,27.97,84.11,6.18,90.03,banana
99,87,48,31.8,75.01,6.9,104.47,banana
104,87,49,27.46,81.32,6.38,105.31,banana
82,85,51,27.1,78.95,5.68,94.19,banana
